Service Price Name	Healthcare Service	Price Type	Currency	Service Charge	Group Name (If Applicable)
Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells (credit) Local Insurance	Deleted	Fixed Price	GHS	0	Local insurance
Factor V Leiden - Pcr (Credit) Non Resident	Factor V Leiden - Pcr	Fixed Price	GHS	2061	
GP Follow Up cash (Day 2-7) Non Resident	GP Consultation	Fixed Price	GHS	127	
Physiotherapist Cons Deposit account (RESIDENT) (Phoenix Insurance)	Physiotherapy	Fixed Price	GHS	450	
GP Consultation cash (Non-Resident)	GP Consultation	Fixed Price	GHS	242	
Urologist Follow Up Deposit account	Urology	Fixed Price	GHS	278	
Physician Specialist Follow up Deposit Account (Premier Insurance)	Physician Specilaist	Fixed Price	GHS	278	
Serial sputum smears for diagnosing pulmonary tuberculosis panel - by Acid fast stain - Foreign Cash	Serial sputum smears for diagnosing pulmonary tuberculosis panel - by Acid fast stain	Fixed Price	GHS	65	Foreign cash
Urologist Follow Up Deposit account (Premier Insurance)	Urology	Fixed Price	GHS	278	
Physiotherapist Cons Deposit account (NON RESIDENT) ( Premier Insurance )	Physiotherapy	Fixed Price	GHS	485	
Audiologist Follow Up (GH Resident)	Audiology	Fixed Price	GHS	278	
General Surgeon Deposit (Non Resident)	General Surgery	Fixed Price	GHS	534	
General Surgeon Deposit Follow-up (Resident)	General Surgery	Fixed Price	GHS	278	
General Surgeon credit Follow-up (Local Insurance)	General Surgery	Fixed Price	GHS	295	Local insurance
Physician Specialist credit Cons (GH Resident)	Physician Specilaist	Fixed Price	GHS	477	
Follow Up (Non Resident)	GP Consultation	Fixed Price	GHS	0	
General Surgeon Deposit (Resident)	General Surgery	Fixed Price	GHS	450	
General Surgeon Cons Follow Up - (Local Insurance)	General Surgery	Fixed Price	GHS	295	Local insurance
Acetyl Choline Receptor Antibody (Cash) - Gh Resident	Acetyl Choline Receptor Antibody	Fixed Price	GHS	648	
Total Iron Binding Capacity - (Local Insurance)	Total Iron Binding Capacity	Fixed Price	GHS	498	Local insurance
FP Follow Up credit (Day 2-7) Non Resident	Family Physician	Fixed Price	GHS	247	
ENT Cons Credit (GH Resident)	ENT	Fixed Price	GHS	477	
ENT Follow Up cash (Non Resident)	ENT	Fixed Price	GHS	334	
General Surgeon Consultation	General Surgery	Fixed Price	GHS	0	
Obs & Gynae cash Cons (Non Resident)	Obs & Gynae	Fixed Price	GHS	540	
General Surgeon Deposit Follow-up (Non Resident)	General Surgery	Fixed Price	GHS	334	
Physician Specialist Deposit Account (Phoenix Insurance)	Physician Specilaist	Fixed Price	GHS	409	
X-RAY ABDOMEN - Foreign Credit	X-RAY ABDOMEN	Fixed Price	GHS	369	Foreign credit
Physiotherapist Cons Deposit account (NON RESIDENT) ( Phoenix Insurance )	Physiotherapy	Fixed Price	GHS	485	
Paediatrics Follow Up	Paeditrics	Fixed Price	GHS	0	
Obs & Gynae credit Follow up (Non Resident)	Obs & Gynae	Fixed Price	GHS	385	
2 Hour Post Prandial Glucose (Local Insurance)	2 Hour Post Prandial Glucose	Fixed Price	GHS	194	Local insurance
Physician Specialist Follow up Deposit Account (Phoenix Insurance)	Physician Specilaist	Fixed Price	GHS	278	
US- ABDOMEN & PELVIC SCAN - Foreign Cash	US- ABDOMEN & PELVIC SCAN	Fixed Price	GHS	512	Foreign cash
TROPONIN I credit (Non Resident)	TROPONIN I	Fixed Price	GHS	464	
US-DOPLER ARTERIAL LEFT LEG - Foreign Cash	US-DOPLER ARTERIAL LEFT LEG	Fixed Price	GHS	596	Foreign cash
Physician Specialist cons Deposit Account	Physician Specilaist	Fixed Price	GHS	450	
CERV Pap Smear Credit - Non Resident	CERV Pap Smear	Fixed Price	GHS	318	
Orthopaedics Cons Follow Up - (Local Insurance)	Orthopaedics	Fixed Price	GHS	295	Local insurance
Registration credit (Non Resident)	Registration	Fixed Price	GHS	156	
General Surgeon credit Follow-up (Non Resident)	General Surgery	Fixed Price	GHS	385	
Paediatrics Cons cash (Non Resident)	Paediatrics	Fixed Price	GHS	540	
Takoradi Physician Specialist - (Cash)	Physician Specilaist	Fixed Price	GHS	220	
Orthopaedics Cons credit (Non Resident)	Orthopaedics	Fixed Price	GHS	554	
Neurosurgeon Deposit Follow-up (Non Resident) (Phoenix Insurance)	Neurosurgery	Fixed Price	GHS	298	
Acetyl Choline Receptor Antibody (Credit) - Gh Resident	Acetyl Choline Receptor Antibody	Fixed Price	GHS	687	
CERV Liquid Based Cytology Cash - Gh Resident	CERV Liquid Based Cytology	Fixed Price	GHS	289	
Takoradi Physician Specialist - (Credit)	Physician Specilaist	Fixed Price	GHS	233	
Dental Follow up Deposit account (Premier Insurance )	Dental clinic	Fixed Price	GHS	278	
CERV Liquid Based Cytology Credit - Gh Resident	CERV Liquid Based Cytology	Fixed Price	GHS	306	
CERV Liquid Based Cytology Cash - Non Resident	CERV Liquid Based Cytology	Fixed Price	GHS	347	
CERV Liquid Based Cytology Credit - Non Resident	CERV Liquid Based Cytology	Fixed Price	GHS	368	
FISTULOGRAM - Foreign Credit	FISTULOGRAM	Fixed Price	GHS	369	Foreign credit
Psychotherapy Cons Credit(GH Resident)	Clinical Psychologist	Fixed Price	GHS	563	
Cardiologist Cons cash (GH Resident)	Cardiology	Fixed Price	GHS	450	
Cardiologist Cons - (Local Insurance)	Cardiology	Fixed Price	GHS	477	Local insurance
Stool Elastase - (Local Insurance)	Stool Elastase	Fixed Price	GHS	1099	Local insurance
Acetyl Choline Receptor Antibody (Cash) - Non Resident	Acetyl Choline Receptor Antibody	Fixed Price	GHS	778	
Acetyl Choline Receptor Antibody (Credit) - Non Resident	Acetyl Choline Receptor Antibody	Fixed Price	GHS	816	
Physiotherapist Follow Up credit (Non Resident)	Physiotherapy	Fixed Price	GHS	385	
Aldolase - (Cash) Non Gh Resident	Aldolase	Fixed Price	GHS	187	
XR Abdomen PA prone (cash)	XR Abdomen PA prone	Fixed Price	GHS	0	
XR Abdomen PA prone (credit)	XR Abdomen PA prone	Fixed Price	GHS	0	
MALARIA BF (Thin + Thick) credit (GH Resident)	MALARIA BF (Thin + Thick)	Fixed Price	GHS	63	
Plastic Surgeon Cons cash (Non Resident)	Plastic Surgery	Fixed Price	GHS	540	
Neurosurgeon Cons Follow Up - (Local Insurance)	Neurosurgery	Fixed Price	GHS	269	Local insurance
Dental Cons cash (Non Resident)	Dental clinic	Fixed Price	GHS	540	
Orthopaedics Follow Up Deposit account (Phoenix Insurance)	Orthopaedics	Fixed Price	GHS	278	
Psychotherapy Cons cash (Non Resident)	Clinical Psychologist	Fixed Price	GHS	531	
Orthopaedics Follow Up Cash (GH Resident)	Orthopaedics	Fixed Price	GHS	278	
Haematologist Cons cash (Non Resident)	Haematology	Fixed Price	GHS	540	
General Surgeon Follow Up Cash (Non Resident)	General Surgery	Fixed Price	GHS	334	
Orthopaedics Cons Deposit account (Phoenix Insurance )	Orthopaedics	Fixed Price	GHS	450	
Psychotherapy Cons Credit (Non Resident)	Clinical Psychologist	Fixed Price	GHS	564	
Renal Clinic Cons CREDIT (Non Resident)	Renal Clinic	Fixed Price	GHS	609	
Takoradi GP Consultation (Credit) (Non Resident)	GP Consultation	Fixed Price	GHS	162	
Urologist Cons Credit (Non Resident)	Urology	Fixed Price	GHS	609	
Cardiologist Cons cash (Non Resident)	Cardiology	Fixed Price	GHS	540	
Urologist Cons cash (Non Resident)	Urology	Fixed Price	GHS	540	
Dietitian Cons credit (Non Resident)	Dietitian	Fixed Price	GHS	609	
Urine Culture and Sensitivity / CS - Foreign Cash	Urine Culture and Sensitivity / CS	Fixed Price	GHS	343	Foreign cash
Ophtalmologist Cons CASH (GH Resident)	Ophtalmology	Fixed Price	GHS	450	
Neurosurgeon Cons credit Follow-up (Resident)	Neurosurgery	Fixed Price	GHS	295	
Orthopaedics Cons cash (Non Resident)	Orthopaedics	Fixed Price	GHS	540	
Orthopaedics Follow Up Deposit account	Orthopaedics	Fixed Price	GHS	278	
Psychotherapy Cons cash (GH Resident)	Clinical Psychologist	Fixed Price	GHS	531	
General Surgeon Cons Cash (Non Resident)	General Surgery	Fixed Price	GHS	540	
Chronic Care Credit Cons (Non Resident)	Chronic Care Cons	Fixed Price	GHS	609	
Renal Clinic Cons CASH (GH Resident)	Renal Clinic	Fixed Price	GHS	450	
Renal Clinic Cons CASH (Non Resident)	Renal Clinic	Fixed Price	GHS	540	
XR Chest PA upright (cash)	XR Chest PA upright	Fixed Price	GHS	0	
XR Mandible AP and Lateral (cash)	XR Mandible AP and Lateral	Fixed Price	GHS	0	
XR Mandible AP and Lateral (credit)	XR Mandible AP and Lateral	Fixed Price	GHS	0	
XR Chest PA upright (credit)	XR Chest PA upright	Fixed Price	GHS	0	
XR Abdomen Upright (credit)	XR Abdomen Upright	Fixed Price	GHS	0	
XR Cervical spine AP (cash)	XR Cervical spine AP	Fixed Price	GHS	0	
XR Abdomen Upright (cash)	XR Abdomen Upright	Fixed Price	GHS	0	
XR Kidney Views W contrast retrograde (cash)	XR Kidney Views W contrast retrograde	Fixed Price	GHS	0	
XR Kidney Views W contrast retrograde (credit)	XR Kidney Views W contrast retrograde	Fixed Price	GHS	0	
General Surgeon Cons Cash (GH Resident)	General Surgery	Fixed Price	GHS	450	
Ophtalmologist Follow Up (Non Resident)	Ophtalmology	Fixed Price	GHS	334	
Audiologist Cons (Non Resident)	Audiology	Fixed Price	GHS	540	
Anaesthetist Cons Cash (Non Resident)	Anaesthetist	Fixed Price	GHS	540	
Chronic Care Cons - (Local Insurance)	Chronic Care Cons	Fixed Price	GHS	477	Local insurance
Cardiologist Cons credit (Non Resident)	Cardiology	Fixed Price	GHS	609	
Ophtalmologist Follow Up CREDIT (GH Resident)	Ophtalmology	Fixed Price	GHS	295	
Psychiatrist Cons cash (Non Resident)	Psychiatry	Fixed Price	GHS	540	
Renal Clinic Cons CREDIT (Resident)	Renal Clinic	Fixed Price	GHS	477	
ENT Follow Up cash (GH Resident)	ENT	Fixed Price	GHS	278	
Haematologist Follow Up cash (Non Resident)	Haematology	Fixed Price	GHS	334	
Takoradi General Surgeon - (Follow Up)	General Surgery	Fixed Price	GHS	77	
Mycobacterium tuberculosis DNA [Presence] in Sputum by NAA with probe detection (credit) Local Insurance	Mycobacterium tuberculosis DNA [Presence] in Sputum by NAA with probe detection	Fixed Price	GHS	171	Local insurance
ENT Cons cash (GH Resident)	ENT	Fixed Price	GHS	450	
Takoradi GP Consultation Follow up (Cash) (Non Resident)	GP Consultation	Fixed Price	GHS	55	
X-RAY ABDOMEN - Foreign Cash	X-RAY ABDOMEN	Fixed Price	GHS	348	Foreign cash
Takoradi General Surgeon - (Cash)	General Surgery	Fixed Price	GHS	220	
Audiologist Follow Up (Non Resident)	Audiology	Fixed Price	GHS	538	
Takoradi Physiotherapist - (Credit) (Non Resident)	Physiotherapy	Fixed Price	GHS	280	
General Surgeon Follow Up Cash (GH Resident)	General Surgery	Fixed Price	GHS	278	
Dietitian Cons cash (Non Resident)	Dietitian	Fixed Price	GHS	540	
Dietitian Cons credit (GH Resident)	Dietitian	Fixed Price	GHS	477	
Alpha Amylase - (Local Insurance)	Alpha Amylase	Fixed Price	GHS	183	Local insurance
Haematologist Follow Up cash (GH Resident)	Haematology	Fixed Price	GHS	278	
SPUTUM Culture & Sensitivity - (Local Insurance)	SPUTUM Culture & Sensitivity	Fixed Price	GHS	303	Local insurance
XR Elbow - left Views (credit)	XR Elbow - left Views	Fixed Price	GHS	0	
XR Elbow - left Views (cash)	XR Elbow - left Views	Fixed Price	GHS	0	
XR Chest PA and Lateral (credit)	XR Chest PA and Lateral	Fixed Price	GHS	0	
XR Hip - right AP (cash)	XR Hip - right AP	Fixed Price	GHS	0	
XR Clavicle - left Views (credit)	XR Clavicle - left Views	Fixed Price	GHS	0	
XR Clavicle - right Views (cash)	XR Clavicle - right Views	Fixed Price	GHS	0	
XR Cervical spine Oblique Views (cash)	XR Cervical spine Oblique Views	Fixed Price	GHS	0	
